,id,Number of Reviews
2506,d12121063,
2507,d7622336,1.0
2508,d12814377,1.0
2509,d7124228,1.0
2510,d13061627,25.0
2511,d12904171,1.0
2512,d11827955,14.0
2513,d13122472,369.0
2514,d9587011,2.0
2515,d11734083,9.0
2516,d12512213,4.0
2517,d13197973,49.0
2518,d7649071,3.0
2519,d13331672,16.0
2520,d10813618,7.0
2521,d12593559,
2522,d784855,1.0
2523,d997436,1.0
2524,d13273661,3.0
2525,d7599095,1.0
2526,d12546317,1.0
2527,d12207476,1.0
2528,d13183671,64.0
2529,d3542011,1.0
2530,d12447935,6.0
2531,d5976508,2.0
2532,d13100127,15.0
2533,d1081683,1.0
2534,d10802051,1.0
2535,d5489152,0.0
2536,d8814420,1.0
2537,d12977288,12.0
2538,d793376,1.0
2539,d12981295,3.0
2540,d12182212,1.0
2541,d7761701,1.0
2542,d5550626,1.0
